Date,Bitcoin,Gold,Nvidia
03-01-2019,-0.03210538324677081,0.0068803963713346405,-0.06231908994547197
04-01-2019,0.009909392727886157,-0.006810345740266399,0.062098833713165824
05-01-2019,-0.004830883519304052,,
06-01-2019,0.062209684962718725,,
07-01-2019,-0.012866212502556706,0.0029532246561592146,0.051586958584653786
08-01-2019,-0.0023853233657824546,-0.0029376585156279944,-0.025210529112760227
09-01-2019,0.0018766022451064401,0.006361788786293232,0.019475846636723304
10-01-2019,-0.09861947277452998,-0.00521841808944945,0.018415446930229784
11-01-2019,0.00028620687500691133,0.0009170028428915344,0.024486022361354998
12-01-2019,-0.0013145014287836432,,
13-01-2019,-0.03136231495217423,,
14-01-2019,0.04208948030690607,0.0032490075164544052,0.010759618621068334
15-01-2019,-0.022569809959092524,-0.001898463600905842,-0.0037960819452314
16-01-2019,0.006262726536624186,0.003252361008547311,-0.006896348178482725
17-01-2019,0.011272698296938444,-0.0015783572696204118,0.019164813342276155
18-01-2019,-0.010159155195275105,-0.008000011568546128,0.03376312922993119
19-01-2019,0.022156472424512685,,
20-01-2019,-0.04441971147431545,,
21-01-2019,0.001173727138171543,-0.001234066639995035,
22-01-2019,0.008397085286928174,0.003985700452548535,-0.05339835688147687
23-01-2019,-0.00836069095716141,-0.002049364674168608,0.0034892338963468106
24-01-2019,0.0073829891449701535,-0.0011316765237632254,0.05569113864886077
25-01-2019,-0.004352912500348083,0.0174792544738418,0.014529014340807223
26-01-2019,0.003791413004009314,,
27-01-2019,-0.00877465631809038,,
28-01-2019,-0.03182144963377276,0.0002455305774633487,-0.14878472975521806
29-01-2019,-0.01023632016635645,0.0064237102035829,-0.04755912740873214
30-01-2019,0.0142215117604092,0.005814478049599003,0.04305657804463969
31-01-2019,-0.009586617481877724,0.0007954334963562459,0.04525208274160342
01-02-2019,0.007975957917993881,-0.0019934892845991925,0.0067942579720536855
02-02-2019,0.013500321966681383,,
03-02-2019,-0.016975818320926095,,
04-02-2019,-0.005342368167678302,-0.00474609389461822,0.030283692877503654
05-02-2019,0.00477402816908068,0.002482336215223313,0.0051482746680004965
06-02-2019,-0.015424380154090755,-0.006714763316579386,0.02013601619741756
07-02-2019,-0.0057782625743101335,0.0029661589376255293,-0.03715226563129281
08-02-2019,0.08097824677865617,0.0030182719691831394,0.005074607459500946
09-02-2019,-0.0021251900360592657,,
10-02-2019,0.008962362713582195,,
11-02-2019,-0.020229622172378114,-0.004370299643449371,-0.011676189946901339
12-02-2019,0.001679405547751145,0.001718364387590654,0.031720958086874695
13-02-2019,-0.0031952270486854673,-0.0033554641802382434,0.011248268571400821
14-02-2019,-0.004767480143641478,0.004857567025015719,0.010734952313585566
15-02-2019,0.0013282821586440008,0.006478118261942889,0.018020816655493377
16-02-2019,0.006587428979960563,,
17-02-2019,0.014731007749940517,,
18-02-2019,0.06375213522991885,0.0038834120035406983,
19-02-2019,0.0029782548322785374,0.011195251954757346,-0.004458890118896441
